english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Your current settings are backed up before the reset. The Game Bar closes — reopen it with Win+G.	Deine Einstellungen werden vor dem Zurücksetzen gesichert. Die Game Bar schließt sich — mit Win+G wieder öffnen.	Tes réglages sont sauvegardés avant la réinitialisation. Le Game Bar se ferme — rouvre-le avec Win+G.	초기화 전에 현재 설정을 백업합니다. 게임 바가 닫히니 Win+G로 다시 여세요.	Tus ajustes se guardan antes del restablecimiento. La Game Bar se cierra — ábrela con Win+G.					Le impostazioni attuali vengono salvate prima del reset. La Game Bar si chiude — riaprila con Win+G.	Suas configurações atuais são salvas antes da redefinição. A Game Bar fecha — reabra com Win+G.		Bieżące ustawienia są zapisywane przed resetem. Game Bar się zamyka — otwórz go ponownie przez Win+G.
Your games	Deine Spiele	Vos jeux	내 게임	Tus juegos					I tuoi giochi	Seus jogos		Twoje gry
usbip  (required for virtual controller)	usbip  (für den virtuellen Controller nötig)	usbip  (requis pour la manette virtuelle)	usbip  (가상 컨트롤러에 필요)	usbip  (necesario para el mando virtual)					usbip  (necessario per il controller virtuale)	usbip  (necessário para o controle virtual)		usbip  (wymagany dla wirtualnego kontrolera)
version	Version	version	버전	versión					versione	versão		wersja
versions	Versionen	versions	버전	versiones					versioni	versões		wersje
• All profiles, fan curves, TDP and controller settings are reset	• Alle Profile, Lüfterkurven, TDP- und Controller-Einstellungen werden zurückgesetzt	• Tous les profils, courbes de ventilateur, TDP et réglages manette sont réinitialisés	• 모든 프로필, 팬 커브, TDP, 컨트롤러 설정이 초기화됩니다	• Se restablecen todos los perfiles, curvas, TDP y ajustes del mando					• Tutti i profili, le curve della ventola, TDP e impostazioni controller vengono azzerati	• Todos os perfis, curvas da ventoinha, TDP e configurações do controle são redefinidos		• Wszystkie profile, krzywe wentylatora, TDP i ustawienia kontrolera są resetowane
• Center's own settings are cleared	• Centers eigene Einstellungen werden gelöscht	• Les réglages de Center sont effacés	• Center 자체 설정이 지워집니다	• Se borran los ajustes de Center					• Le impostazioni di Center vengono cancellate	• As configurações do próprio Center são apagadas		• Własne ustawienia Center są czyszczone
• Global and per-game profiles (TDP, fan curves, controller, gyro)	• Globale und Spielprofile (TDP, Lüfterkurven, Controller, Gyro)	• Profils globaux et par jeu (TDP, courbes, manette, gyro)	• 전역 및 게임별 프로필 (TDP, 팬 커브, 컨트롤러, 자이로)	• Perfiles globales y por juego (TDP, ventiladores, mando, giro)					• Profili globali e per gioco (TDP, curve ventola, controller, gyro)	• Perfis globais e por jogo (TDP, curvas da ventoinha, controle, giroscópio)		• Profile globalne i per gra (TDP, krzywe wentylatora, kontroler, żyroskop)
• Helper settings (global TDP, fan curve, controller emulation)	• Helper-Einstellungen (globales TDP, Lüfterkurve, Controller-Emulation)	• Réglages du helper (TDP global, courbe, émulation manette)	• 헬퍼 설정 (전역 TDP, 팬 커브, 컨트롤러 에뮬레이션)	• Ajustes del helper (TDP global, ventilador, emulación de mando)					• Impostazioni dell'helper (TDP globale, curva ventola, emulazione controller)	• Configurações do helper (TDP global, curva da ventoinha, emulação de controle)		• Ustawienia helpera (globalne TDP, krzywa wentylatora, emulacja kontrolera)
• The ClawTweaks app is NOT removed by this	• Die ClawTweaks-App wird dadurch NICHT entfernt	• L'app ClawTweaks n'est PAS supprimée	• ClawTweaks 앱은 제거되지 않습니다	• La app ClawTweaks NO se quita con esto					• L'app ClawTweaks NON viene rimossa	• O app ClawTweaks NÃO é removido por isto		• Aplikacja ClawTweaks NIE jest przez to usuwana
• The Start Menu entry and the desktop shortcut go	• Startmenü-Eintrag und Desktop-Verknüpfung gehen	• L'entrée du menu Démarrer et le raccourci disparaissent	• 시작 메뉴 항목과 바탕 화면 바로 가기가 사라집니다	• Se van la entrada del menú Inicio y el acceso directo					• La voce nel menu Start e il collegamento sul desktop spariscono	• A entrada do menu Iniciar e o atalho da área de trabalho somem		• Wpis w menu Start i skrót na pulpicie znikają
• The background helper stops and removes its scheduled task	• Der Hintergrund-Helper stoppt und entfernt seine geplante Aufgabe	• Le helper s'arrête et supprime sa tâche planifiée	• 백그라운드 헬퍼가 멈추고 예약 작업을 제거합니다	• El helper se detiene y quita su tarea programada					• L'helper in background si ferma e rimuove la sua attività pianificata	• O helper em segundo plano para e remove sua tarefa agendada		• Helper w tle zatrzymuje się i usuwa swoje zadanie zaplanowane
• The battery charge limit is switched off	• Das Ladelimit wird ausgeschaltet	• La limite de charge est désactivée	• 배터리 충전 제한이 꺼집니다	• Se desactiva el límite de carga					• Il limite di carica della batteria viene disattivato	• O limite de carga da bateria é desligado		• Limit ładowania baterii jest wyłączany
• The fan goes back to firmware control	• Der Lüfter geht zurück an die Firmware	• Le ventilateur repasse au firmware	• 팬이 펌웨어 제어로 돌아갑니다	• El ventilador vuelve al control del firmware					• La ventola torna al controllo del firmware	• A ventoinha volta ao controle do firmware		• Wentylator wraca pod kontrolę firmware
• The hardware controller comes back	• Der Hardware-Controller kommt zurück	• La manette matérielle revient	• 하드웨어 컨트롤러가 돌아옵니다	• Vuelve el mando físico					• Il controller hardware torna	• O controle de hardware volta		• Kontroler sprzętowy wraca
• The widget disappears from the Game Bar	• Das Widget verschwindet aus der Game Bar	• Le widget disparaît du Game Bar	• 위젯이 게임 바에서 사라집니다	• El widget desaparece de la Game Bar					• Il widget sparisce dalla Game Bar	• O widget some da Game Bar		• Widżet znika z Game Bar
• Your profiles and settings are deleted with the app	• Deine Profile und Einstellungen gehen mit der App	• Tes profils et réglages partent avec l'app	• 프로필과 설정도 앱과 함께 삭제됩니다	• Tus perfiles y ajustes se borran con la app					• Profili e impostazioni vengono eliminati con l'app	• Seus perfis e configurações são apagados junto com o app		• Profile i ustawienia są usuwane razem z aplikacją
Could not start {0}.	{0} konnte nicht starten.	Impossible de démarrer {0}.	{0}을(를) 시작할 수 없습니다.	No se pudo iniciar {0}.					Impossibile avviare {0}.	Não foi possível iniciar {0}.		Nie udało się uruchomić {0}.
Install {0}?	{0} installieren?	Installer {0} ?	{0} 설치할까요?	¿Instalar {0}?					Installare {0}?	Instalar {0}?		Zainstalować {0}?
Start Steam with the library	Steam mit der Bibliothek starten	Lancer Steam avec la bibliothèque	라이브러리와 함께 Steam 시작	Iniciar Steam con la biblioteca					Avvia Steam con la libreria	Iniciar o Steam com a biblioteca		Uruchamiaj Steam z biblioteką
Denser grid	Dichteres Raster	Grille plus dense	더 촘촘한 그리드	Cuadrícula densa					Griglia più fitta	Grade mais densa		Gęstsza siatka
Interface sounds	Menügeräusche	Sons de l'interface	인터페이스 사운드	Sonidos de la interfaz					Suoni dell'interfaccia	Sons da interface		Dźwięki interfejsu
Background music	Hintergrundmusik	Musique de fond	배경 음악	Música de fondo					Musica di sottofondo	Música de fundo		Muzyka w tle
Sound settings	Sound-Einstellungen	Réglages du son	사운드 설정	Ajustes de sonido					Impostazioni audio	Configurações de som		Ustawienia dźwięku
Effects volume	Effektlautstärke	Volume des effets	효과음 볼륨	Volumen de efectos					Volume effetti	Volume dos efeitos		Głośność efektów
Music volume	Musiklautstärke	Volume de la musique	음악 볼륨	Volumen de la música					Volume musica	Volume da música		Głośność muzyki
Change a value with left and right.	Ändere den Wert mit links und rechts.	Change la valeur avec gauche et droite.	왼쪽과 오른쪽으로 값을 바꾸세요.	Cambia el valor con izquierda y derecha.					Cambia un valore con sinistra e destra.	Mude um valor com esquerda e direita.		Zmień wartość w lewo i w prawo.
Navigate	Navigieren	Naviguer	탐색	Navegar					Naviga	Navegar		Nawiguj
Go back	Zurück	Retour	뒤로	Volver					Indietro	Voltar		Wstecz
Change	Ändern	Changer	변경	Cambiar					Cambia	Mudar		Zmień
Toggle	Umschalten	Basculer	전환	Alternar					Commuta	Alternar		Przełącz
Reading your stores…	Deine Stores werden gelesen…	Lecture de tes boutiques…	스토어를 읽는 중…	Leyendo tus tiendas…					Lettura degli store…	Lendo suas lojas…		Odczyt sklepów…
Reading your Steam library…	Deine Steam-Bibliothek wird gelesen…	Lecture de ta bibliothèque Steam…	Steam 라이브러리를 읽는 중…	Leyendo tu biblioteca de Steam…					Lettura della libreria Steam…	Lendo sua biblioteca Steam…		Odczyt biblioteki Steam…
Center opens on the library, not on Home.	Center öffnet die Bibliothek statt Home.	Center s'ouvre sur la bibliothèque, pas sur l'accueil.	Center가 홈 대신 라이브러리로 열립니다.	Center abre la biblioteca en vez de Inicio.					Center si apre sulla libreria, non su Home.	O Center abre na biblioteca, não na tela inicial.		Center otwiera się na bibliotece, nie na ekranie głównym.
ClawTweaks starts Center when it starts itself.	ClawTweaks startet Center mit sich selbst.	ClawTweaks lance Center en même temps que lui.	ClawTweaks가 시작될 때 Center도 함께 시작합니다.	ClawTweaks inicia Center cuando se inicia él.					ClawTweaks avvia Center quando parte.	O ClawTweaks inicia o Center quando ele mesmo inicia.		ClawTweaks uruchamia Center razem ze sobą.
Opens Steam in the tray when you open the library.	Öffnet Steam im Infobereich, wenn du die Bibliothek öffnest.	Lance Steam dans la zone de notification à l'ouverture de la bibliothèque.	라이브러리를 열 때 Steam을 트레이에서 실행합니다.	Abre Steam en la bandeja al abrir la biblioteca.					Apre Steam nell'area di notifica quando apri la libreria.	Abre o Steam na bandeja quando você abre a biblioteca.		Otwiera Steam w zasobniku, gdy otwierasz bibliotekę.
Closing the window leaves Center running in the tray.	Beim Schließen läuft Center im Infobereich weiter.	Fermer la fenêtre laisse Center dans la zone de notification.	창을 닫아도 Center는 트레이에서 계속 실행됩니다.	Al cerrar la ventana, Center sigue en la bandeja.					Chiudendo la finestra Center resta nell'area di notifica.	Fechar a janela deixa o Center em execução na bandeja.		Zamknięcie okna zostawia Center działający w zasobniku.
What Center does with itself once a game runs.	Was Center mit sich macht, sobald ein Spiel läuft.	Ce que Center fait de lui-même quand un jeu démarre.	게임이 실행되면 Center가 스스로 무엇을 할지.	Qué hace Center consigo mismo cuando corre un juego.					Cosa fa Center quando un gioco è in esecuzione.	O que o Center faz consigo mesmo quando um jogo roda.		Co Center robi ze sobą, gdy działa gra.
Which tabs the library shows, and in which order.	Welche Tabs die Bibliothek zeigt und in welcher Reihenfolge.	Quels onglets la bibliothèque affiche, et dans quel ordre.	라이브러리에 어떤 탭을 어떤 순서로 표시할지.	Qué pestañas muestra la biblioteca y en qué orden.					Quali schede mostra la libreria, e in che ordine.	Quais abas a biblioteca mostra, e em que ordem.		Które karty pokazuje biblioteka i w jakiej kolejności.
More covers per row, and a smaller Recent reel.	Mehr Cover pro Reihe und ein kleineres Recent-Band.	Plus de jaquettes par ligne, et un bandeau Recent plus petit.	한 줄에 더 많은 커버, 그리고 더 작은 Recent 줄.	Más carátulas por fila y una fila Recent más pequeña.					Più copertine per riga e una fila Recent più piccola.	Mais capas por linha e uma fileira Recentes menor.		Więcej okładek w rzędzie i mniejszy pasek Ostatnich.
Fades the tabs and the footer out on Recent while you idle.	Blendet Tabs und Fußzeile in Recent aus, wenn du nichts drückst.	Estompe les onglets et le pied de page dans Recent quand tu ne touches à rien.	Recent에서 아무것도 누르지 않으면 탭과 하단 바가 흐려집니다.	Atenúa las pestañas y el pie en Recent mientras no pulsas nada.					Sfuma schede e piè di pagina in Recent quando sei inattivo.	Esmaece as abas e o rodapé em Recentes enquanto você está inativo.		Wygasza karty i stopkę w Ostatnich, gdy nic nie robisz.
